nombre_plato,ingredientes,precio,kcal,proteinas,hidratos,grasas,peso,alergenos,is_vegetariano,is_vegano,is_keto,bajo_en_calorias,es_postre,de_cuchara,alto_proteina,sin_lactosa,is_gourmet,para_diabeticos,sin_gluten,congelar
Albóndigas en Salsa de Cuatro Quesos,"Ternera 10.93%, Cerdo 10.93%, Perejil, Cebolla, Huevo (HUEVO), Ajo, Caldo de Carne, Pan (GLUTEN), leche Sin Lactosa (LÁCTEOS),aceite de oliva, Nata (LÁCTEOS), Queso Azul (LÁCTEOS), Queso Edam (LÁCTEOS), Queso Manchego (LÁCTEOS), Queso Cheddar (LÁCTEOS), Sal, Colorante, Goma Xantana, Almendra (FRUTOS SECOS), Mostaza Antigua (MOSTAZA)",6.85,176.0,14.2,1.3,12.5,380.0,"Leche, Gluten, Huevo y Mostaza",False,False,True,False,False,False,True,False,True,True,False,False
Albóndigas en Salsa de la Abuela,"Ternera 10.93%, Cerdo 10.93%, Perejil, Cebolla, Huevo (HUEVO), Ajo, Caldo de Carne, Pan (GLUTEN) y leche Sin Lactosa (LÁCTEOS)), Vino, Aceite de Oliva, Pimienta, Pimentón, Pollo, Roast Pork, Tomate, Zanahoria y Guisantes",6.95,129.0,8.3,8.9,6.3,380.0,"HUEVO, GLUTEN, LÁCTEOS",False,False,False,False,False,True,False,True,False,False,False,False
Canelones de Carrillera,"Cerdo 23.32%, Cebolla, Vino, Zanahoria, sémola de trigo (GLUTEN), Cebolla, Vinagre de Módena, Azúcar, Aceite de Oliva, Vino, Sal, Paté, Ajo, Caldo de Carne, Pimienta Blanca, Agua y Laurel",7.95,113.0,5.5,6.3,5.5,290.0,GLUTEN,False,False,False,False,False,False,False,True,True,False,False,False
Carrilleras de Cerdo con Pisto,"Cerdo 60.82%, Agua, Cebolla, Pimiento, Vino, Patatas, Sal, Aceite de Oliva, Pimiento, Calabacín, Berenjenas y Pimienta Blanca",7.35,134.0,8.7,3.3,8.9,380.0,,False,False,True,False,False,False,False,True,False,True,True,False
Carrilleras de Cerdo en Salsa con Crema de Patatas,"Cerdo 60.82%, Agua, Patatas 8.12%, Cebolla, Zanahoria, Pimiento, Vino, Nata (LÁCTEOS), Aceite de Oliva, Ajo, Vino, Sal, Mantequilla (LÁCTEOS), Caldo de Carne, Pimienta Negra y Nuez Moscada.",7.15,172.0,13.5,14.5,5.9,380.0,LÁCTEOS,False,False,False,False,False,True,True,False,True,False,True,False
Estofado de Pavo,"Pavo 53.88%, Tomate 22%, Agua, Cebolla, Vino, Zanahoria, Pimiento, Aceite de Oliva, Sal, Ajo, Pimienta Negra y Laurel",5.95,104.0,6.6,5.2,5.2,380.0,,False,False,False,False,False,True,False,True,False,True,True,True
Estofado de Ternera,"Patatas,  Ternera 27.43%, Agua, Cebolla, Vino, Pimiento, Zanahoria, Aceite de Oliva, Sal, Caldo de Carne, Ajo y Colorante.",5.95,105.0,7.4,6.6,4.8,380.0,,False,False,False,False,False,True,False,True,False,True,True,False
Hamburguesa con Cebolla Caramelizada y Patatas,"Patata 22.59%, Cebolla 21.42%, Ternera 12.36%, Cerdo 12.36%, Nata (LÁCTEOS), Pimiento, Queso (LÁCTEOS), Manzana, Salsa BBQ, Vino, Vinagre de Módena, Jarabe de Arce, Mostaza (MOSTAZA), Azúcar, Aceite de Oliva, Ajo, Mermelada, Miel, Huevos (HUEVO), Caldo de Carne, pan (GLUTEN), leche (LÁCTEOS), Vino, Perejil, Cilantro, Pimienta Negra y Comino",5.7,145.0,6.8,10.0,8.5,380.0,"HUEVO, LÁCTEOS, MOSTAZA, GLUTEN",False,False,False,False,False,False,False,False,True,False,False,False
Hamburguesa Keto con Palitos de Calabacín,"Calabacín 43.16%, Ternera 11.41%, Cerdo 11.41%, Cebolla, Nata (LÁCTEOS), Mostaza (MOSTAZA), Queso (LÁCTEOS), Aceite de Oliva, Ajo, Huevos (HUEVO), Caldo de Carne, Pan (GLUTEN), Vino, Sal, Perejil, Ajo, Orégano y Pimienta Blanca.)",6.25,170.0,6.3,4.1,14.0,380.0,"HUEVO, GLUTEN, LÁCTEOS, MOSTAZA",False,False,True,False,False,False,False,False,True,True,False,False
Lomo Jugoso con Salsa Barbacoa y Patatas,"Cerdo 33.17%, Patatas 29.25%, Manzana, Pimiento, Salsa BBQ (Conservador y Colorante) Cebolla, Ajo, Mostaza (MOSTAZA), Aceite de Oliva, Mermelada de Albaricoque, Miel, Almidón Modificado, Jarabe de Arce, Tomate, Vinagre, Agua, Sal, Azúcar, Estabilizante, Jarabe de Glucosa y Fructosa, Aromas, Cilantro, Pimienta Negra y Comino., Cebolla, Extracto Vegetal)",6.65,169.0,7.5,7.7,11.7,380.0,MOSTAZA,False,False,False,False,False,False,False,True,False,False,True,False
Lomo Jugoso en Salsa al Whisky con Patatas,"Cerdo 51.32%, Patata 25.27%, Agua, Aceite de Oliva, Cebolla, Ajo, Whisky 1.36%, Limón, Vino, Caldo de Carne, Roast Pork, Sal y Pimienta",7.15,166.0,6.4,5.2,11.4,380.0,,False,False,False,False,False,False,False,True,True,False,True,False
Parrillada de Ibéricos al Mojo Picón,"Patatas, Cerdo 17%, Chorizo Criollo 17%, Chorizo 17%, Tomate, Aceite de Oliva, Tomate, Ajo, Pan (GLUTEN), Comino, Pimentón, Sal, Vinagre, Orégano y Pimienta",5.65,164.0,9.6,6.1,11.0,350.0,GLUTEN,False,False,False,False,False,False,False,True,True,False,False,False
Pastel de Carne con Chili y Puré de Patatas,"Ternera 34.30%, Patata, Pimiento, Alubia Roja, Cebolla, Tomate, Aceite de Oliva, Queso Sin Lactosa (LÁCTEOS), Salsa Inglesa (Vinagre de Malta, Vinagre de Alcohol, Melaza, Azúcar, Sal, Anchoas (PESCADO), Extracto de Tamarindo, Cebolla, Ajo, Especias y Aromas), leche Sin Lactosa (LÁCTEOS), Nata (LÁCTEOS), Ajo, Cayena, Orégano, Comino, Pimentón Dulce, Tabasco, Sal y Pimienta",6.95,236.0,16.3,10.2,13.0,380.0,"LÁCTEOS, PESCADO",False,False,False,False,False,False,True,False,True,False,True,False
Pollo a la Carbonara con Patatas gajo,"Pollo 38.16%, Patata 31.80%, Nata (LÁCTEOS), Champiñones, Cebolla, Queso (LÁCTEOS), Mantequilla (LÁCTEOS), Ajo, Sal y Pimienta.",5.95,113.0,9.8,4.5,6.0,380.0,LÁCTEOS,False,False,False,False,False,False,False,False,False,False,False,False
Pollo Agridulce con Arroz Basmati,"Pollo 43.38%, Agua, Arroz, Salsa de Soja (SOJA), Sal, Harina de Trigo (GLUTEN), Cebolla, Pimiento, Vinagre, Azúcar, Tomate, Ajo, Aceite de Oliva, Harina de maiz, Sésamo (SÉSAMO) y Sal",5.95,143.0,8.1,11.2,6.7,380.0,"SÉSAMO, SOJA, GLUTEN",False,False,False,False,False,False,False,True,False,False,False,False
Pollo al Curry con Arroz,"Pollo 33.14%, Agua, Nara, Arroz 8.93%, Manzana, leche (LÁCTEOS), Cebolla, Tomate, Aceite de Oliva, Limón, Curry Amarillo 0.71%, Caldo de Carne, Mantequilla (LÁCTEOS), Ajo, Sal, Cayena, Comino, Canela, Colorante y Pimienta Negra",6.85,127.0,7.6,10.5,6.0,380.0,LÁCTEOS,False,False,False,False,False,False,False,False,True,False,True,False
Pollo Asado a la Peruana,"Pollo 49.76%, Patata, Agua, Carne de Pimiento Choricero, Nata (LÁCTEOS), Vino, Mostaza (MOSTAZA), Limón, Aceite de Oliva, Harina de maiz, Ají Amarillo, Sal, Comino, Ajo, Tomillo, Pimienta Negra y Orégano",5.65,88.8,10.0,4.8,3.2,380.0,"LÁCTEOS, MOSTAZA",False,False,False,True,False,False,False,False,True,True,True,False
Pollo Tikka Masala con Arroz Basmati,"Pollo 37.58%, Agua, Tomate, Arroz 9.40%, Cebolla, Nata (LÁCTEOS), Tomate, Mantequilla (LÁCTEOS), Ajo, Aceite de Oliva, Comino, Sal, Canela, Curry, Jengibre, Azúcar, Cúrcuma, Cayena, Ajo y Pimentón dulce",6.85,220.0,9.8,17.1,12.5,380.0,LÁCTEOS,False,False,False,False,False,False,False,False,True,False,True,False
Pollo Tikka Masala Keto,"Pollo 37.58%, Agua, Tomate, Coliflor 9.40%, Cebolla, Nata (LÁCTEOS), Tomate, Mantequilla (LÁCTEOS), Ajo, Aceite de Oliva, Comino, Sal, Canela, Curry, Jengibre, Cúrcuma, Cayena, Ajo y Pimentón dulce",6.85,113.0,10.4,3.3,6.3,380.0,,False,False,True,False,False,False,False,False,True,True,True,True
Presa con Rústicas y Mojo Verde,"Cerdo 46.63%, Patatas, Aceite de Oliva, Pan (GLUTEN), Vinagre, Perejil, Ajo, Cilantro, Sal, Comino, Cayena y Pimienta Negra",6.65,155.0,9.0,7.4,9.7,350.0,GLUTEN,False,False,False,False,False,False,False,True,True,False,False,False
Solomillo a la Pimienta,"Patata 41.44%, Cerdo 39.74%, Nata (LÁCTEOS), Cebolla, Vino, Aceite de Oliva, Ajo, bovril (Caldo de Vacuno, Extracto de Levadura, Sal, Agua, Colorante, Almidón de Maíz, Carne de Vacuno Desidratada, Potenciadores del Sabor, Acidulante y Aromas), Sal, Pimienta en Grano y Pimienta Molida",7.25,120.0,8.7,6.0,5.9,380.0,LÁCTEOS,False,False,False,False,False,False,False,False,True,False,True,False
Solomillo en Salsa con Manzanas y Pasas,"Cerdo 47.28%, Manzanas 25.019%, Agua, Vino, Pasas 2.21%, Cebolla, Margarina, Aceite de Oliva, Harina de maiz, Vino, Limón, Caldo de Carne, Sal y Pimienta Blanca",8.2,193.0,13.0,9.8,10.7,380.0,,False,False,False,False,False,False,True,True,True,True,True,True
Tacos de Ternera (incluye tortillas),"Ternera 49.22%, Cebolla, Queso Sin Lactosa (LÁCTEOS), Pimiento, Tomate, Salsa Inglesa (Vinagre de Malta, Vinagre de Alcohol, Melaza, Azúcar, Sal, Anchoas (PESCADO), Extracto de Tamarindo, Cebolla, Ajo, Especias y Aromas), Aceite de Oliva, Jalapeños, Ajo, Puré de Patatas, Sal, Cayena, Orégano, Comino, Pimentón Dulce y Tabasco",7.95,128.0,9.7,5.7,6.0,380.0,"LÁCTEOS, PESCADO",False,False,False,False,False,False,False,False,False,False,True,False
Albóndigas con Pisto,"Calabacín, Berenjena, Pimiento, Cebolla, Patatas, Pollo 24.85%, Tomate, Pan (GLUTEN), Zanahoria, Cebolla, Huevo (HUEVO), Aceite de Oliva, Sal, Roast Pork, Ajo, Azúcar y Pimienta Blanca",6.35,87.6,6.0,4.5,4.7,380.0,"HUEVO, GLUTEN",False,False,False,True,False,False,False,True,False,True,False,False
Albóndigas de Berenjena en Salsa de Tomate,"Berenjenas 35.17%,Tomate 25%, Cebolla, Pan (GLUTEN), Huevo (HUEVO), Vino, Aceite de Oliva, Perejil, Ajo, Sal, Azúcar, Comino y Pimienta Blanca",5.45,60.9,2.0,5.6,1.3,380.0,HUEVO. GLUTEN,True,False,False,True,False,False,False,True,False,True,False,False
Albóndigas de Pollo en Salsa,"Agua, Pollo 24.93%, Zanahoria, Cebolla, Pan (GLUTEN), Vino, Huevo (HUEVO), Vino, Caldo de Verduras, Sal, Roast Pork, Ajo y Pimienta Negra.",6.15,78.1,5.6,5.8,3.2,380.0,"HUEVO, GLUTEN",False,False,False,True,False,False,False,True,False,True,False,False
Alcachofas con Huevo,"Alcachofas 45.55%, Agua, Huevo 10.50% (HUEVO), Cebolla, Vino, Pimiento, Aceite de Oliva, Ajo, Caldo de Verduras, Harina de maiz, Sal, Perejil y Pimienta Blanca",5.95,40.5,1.3,1.6,2.2,380.0,HUEVO,True,False,False,True,False,False,False,True,False,True,True,False
Berenjenas Gratinadas al Parmesano,"Berenjenas 54.40%, Tomate, Queso 4.17% (LÁCTEOS), Queso Sin Lactosa (LÁCTEOS), Cebolla, Azúcar, Aceite de Oliva, Ajo, Sal, Orégano y Pimienta Blanca",6.55,88.1,3.5,4.5,5.9,430.0,LÁCTEOS,True,False,False,True,False,False,False,False,True,True,True,True
Berenjenas Rellenas de Atún,"Berenjenas 64.20%, Atún 9.75% (PESCADO), Queso Sin Lactosa (LÁCTEOS), Cebolla, Huevo (HUEVO), Tomates, Pimiento, Aceite de Oliva, Caldo de Verduras, Sal y Pimienta Blanca",6.95,124.0,9.4,1.8,8.6,380.0,"HUEVO, LÁCTEOS, PESCADO",False,False,True,False,False,False,False,True,False,True,True,False
Brócoli de guarnición,"Brócoli 65.06%, Champiñón, Aceite de Oliva, Ajo, Sal y Pimienta Negra",3.95,60.3,2.5,1.5,4.6,300.0,,True,True,False,True,False,False,False,True,False,True,True,True
Brownie Keto de Chocolate con Avellanas,"Huevo (HUEVO), Margarina, Eritritol, Cacao 0% 12.35%, Harina de Almendras (FRUTOS DE CÁSCARA), Avellana (FRUTOS DE CÁSCARA) y Levadura",4.95,291.0,7.8,5.1,35.8,180.0,"HUEVO, FRUTOS DE CÁSCARA",True,False,True,False,True,False,False,True,True,True,True,False
Calabacines Rellenos de Carne,"Calabacines 45.70%, Queso sin Lactosa (LÁCTEOS), leche  Sin Lactosa(LÁCTEOS), Agua, Cerdo 6.58%, Cebolla, Tomate, Aceite de Oliva, Harina de maiz, Vino, Patatas, Pimiento, Zanahoria, Sal, Ajo, Nuez Moscada y Pimienta",6.25,96.0,4.5,5.1,6.1,380.0,LÁCTEOS,False,False,False,True,False,False,False,False,False,True,True,False
Caldereta de Venado,"Venado 37%, Pimiento, Cebolla, Vino, Zanahoria, Tomates, Aceite de Oliva, Ajo, Sal, Tomillo, Romero y Pimienta",7.95,98.8,13.7,3.1,2.9,380.0,,False,False,True,True,False,False,True,True,True,True,True,True
Coliflor al Ajillo y Pimentón,"Coliflor 92.17%, Ajo 3.68%, Aceite de Oliva, Vinagre, Sal y Pimentón Dulce 0.69%.",5.85,65.5,2.6,3.8,3.8,380.0,,True,True,False,True,False,False,False,True,False,True,True,True
Coliflor con Bechamel y Queso,"Coliflor 44.48%, leche  Sin Lactosa(LÁCTEOS), Agua, Huevo (HUEVO), Aceite de Oliva, Queso (LÁCTEOS), Harina de maiz, Sal, Nuez Moscada",5.95,56.3,5.1,1.9,2.8,380.0,"HUEVO, LÁCTEOS",True,False,False,True,False,False,False,False,False,True,True,False
Crema de Calabacín con Quesitos,"Calabacín 38.59%, Cebolla, Agua, Queso Sin Lactosa 6.10% (LÁCTEOS), Nata (LÁCTEOS) y Sal.",5.05,55.3,2.5,2.9,3.6,380.0,LÁCTEOS,True,False,False,True,False,True,False,False,False,True,True,False
Crema de Calabaza,"Agua, Calabaza 28.83%, Patata, Cebolla, Zanahoria, Nata (LÁCTEOS), Aceite de Oliva, Ajo, Sal y Caldo de Verduras",5.05,39.6,0.9,3.2,2.4,380.0,LÁCTEOS,True,False,False,True,False,True,False,False,False,True,True,False
Crema de Espinacas,"Espinacas 29.34%, Agua, Patata, Cebolla, Nata (LÁCTEOS), Queso (LÁCTEOS), Ajo y Sal.",5.05,47.6,2.7,3.6,2.2,380.0,LÁCTEOS,True,False,False,True,False,True,False,False,False,True,True,False
Curry Amarillo de Salmón y Brócoli,"Salmón 27.75% (PESCADO), Brócoli 25.10%, leche de Coco, Zanahoria, Calabacín, Berenjenas, Mango, Cebolla, Pimiento, Tomates, Cacahuetes (FRUTOS DE CÁSCARA), Curry Amarillo 1.29%, Ajo, Caldo de Verduras y Sal",6.95,109.0,4.7,3.0,8.8,380.0,"PESCADO, FRUTOS DE CÁSCARA",False,False,True,False,False,False,False,True,True,True,True,True
Dieta Keto o Cetogénica - Primera Semana,,109.25,0.0,0.0,0.0,0.0,8000.0,,True,True,False,True,False,False,False,True,False,True,True,True
Dieta Keto o Cetogénica - Segunda Semana,,106.95,0.0,0.0,0.0,0.0,8000.0,,True,True,False,True,False,False,False,True,False,True,True,True
Dieta Keto o Cetogénica - Tercera Semana,,106.65,0.0,0.0,0.0,0.0,8000.0,,True,True,False,True,False,False,False,True,False,True,True,True
Ensalada de Pimientos Asados o Escalivada,"Pimientos 71.26%, Vinagre de Manzana, Cebolla, Huevo (HUEVO), Aceite de Oliva, Atún (PESCADO)",5.95,128.0,3.9,4.7,10.1,380.0,"HUEVO, PESCADO",False,False,True,False,False,False,False,True,True,True,True,False
Estofado de Cerdo con Tomate,"Cerdo 53.88%, Tomate 21.35%, Agua, Cebolla, Vino, Zanahoria, Pimiento, Aceite de Oliva, Sal, Ajo, Pimienta Negra y Laurel",6.45,116.0,12.2,1.9,6.2,380.0,,False,False,True,False,False,True,True,True,False,True,True,True
Judías Verdes Salteadas con Jamón,"Judías Verdes 71.40%, Cebolla, Jamón 9.06%, Aceite de Oliva, Ajo, Sal y Pimienta Blanca",5.45,69.3,3.5,3.9,3.7,380.0,,False,False,False,True,False,False,False,True,False,True,True,True
Jugosa Pechuga de Pollo a la Miel y Mostaza,"Pollo 77.52%, Huevo (HUEVO), Aceite de Oliva, Miel 1.87%, Mostaza (MOSTAZA) 1.87%, Salsa de Soja (SOJA), Ajo, Sal, Aroma de Carne, Perejil y Pimienta Blanca",7.25,223.0,16.3,2.3,16.5,380.0,"SOJA, MOSTAZA, HUEVO",False,False,True,False,False,False,True,True,True,True,True,False
Lasaña de Verduras,"Calabacín 13.45%, Cebolla 11.21%, leche  Sin Lactosa(LÁCTEOS), Espinacas 8.97%, Agua, Zanahoria 6.73%, Sémola de trigo 6.42% (GLUTEN), Berenjenas 5.61%, Nata (LÁCTEOS), Tomates 9.61%, Aceite de Oliva, Pimiento 5.60%, Queso Sin Lactosa (LÁCTEOS), Harina de maiz, Caldo de Verduras, Sal, Nuez Moscada y Pimienta Blanca",6.35,70.5,2.0,5.0,4.4,400.0,"LÁCTEOS, GLUTEN",True,False,False,True,False,False,False,False,True,True,False,False
Musaka,"Berenjenas 57.36%, leche (LÁCTEOS) Sin Lactosa, Agua, Ternera, Cerdo, Tomate, Queso Sin Lactosa (LÁCTEOS), Cebolla, Aceite de Oliva, Harina de maiz, Zanahoria, Bacon, Vino, Sal, Ajo, Caldo de Carne, Nuez Moscada y Orégano",6.25,103.0,5.8,4.6,6.6,380.0,LÁCTEOS,False,False,False,False,False,False,False,True,True,False,True,False
Pan Keto o Cetogénico (500 gr.),"Mix panario [mix de proteínas (proteína de trigo, proteína de soja (SOJA), proteína de lupino), harina de soja (SOJA), semillas de linaza marrón y amarilla, semillas de girasol, harina de soja (SOJA), harina de trigo integral, salvado de trigo, fibra de manzana, semillas de sésamo (SÉSAMO), sal, harina de malta de cebada tostada, emulsionante, regulador de la acidez (diacetato de sodio)], agua, aceite de girasol, levadura, conservante (propionato de calcio), conservante, avena (GLUTEN)",7.95,304.0,23.3,15.2,13.6,500.0,"SÉSAMO, SOJA, GLUTEN",True,True,False,False,False,False,True,True,False,False,False,False
Pastel de Berenjenas y Carne,"Berenjenas 23.72%, Cerdo, Huevo (HUEVO), Queso Sin Lactosa (LÁCTEOS), Pimiento, Cebolla, Nata(LÁCTEOS), Aceite de Oliva y Sal",6.35,168.0,8.8,3.1,13.0,380.0,"HUEVO, LÁCTEOS",False,False,True,False,False,False,False,False,True,True,True,False
Pastelito de Queso Keto,"Huevo (HUEVO), Queso 23.27% (LÁCTEOS), Yogur Natural (LÁCTEOS), Edulcorante en Polvo, Levadura, Esencia de Vainilla, Edulcorante Líquido, Esencia de Limón",4.95,103.0,11.2,1.7,5.7,180.0,"HUEVO, LÁCTEOS",True,False,True,False,True,False,False,False,False,True,True,False
Pavo al Curry y Coliflor,"Pavo 41.72%, Coliflor 32.10%, Queso (LÁCTEOS), Cebolla, Nata (LÁCTEOS), Tomate, Aceite de Oliva, Curry Amarillo 0.39% y Sal",5.95,90.6,11.0,1.7,4.2,380.0,LÁCTEOS,False,False,True,True,False,False,True,False,True,True,True,False
"Pechuga de Pavo en Salsa de Gambas, Ajos Tiernos y Setas","Pavo 47.28%, Setas 11.82%, Ajos, Gambas 11.82% (CRUSTÁCEOS), Cebolla, Vino, Nata (LÁCTEOS), Agua, Aceite de Oliva, Harina de maiz, Pimentón Dulce, Sal y Pimienta Blanca",7.95,122.0,18.1,2.0,4.1,380.0,"LÁCTEOS, CRUSTÁCEOS",False,False,True,False,False,False,True,False,True,False,True,False
Pimientos Rellenos en Salsa Riojana,"Pimiento 34.52%, Cerdo, Ternera, Cebolla, Pimiento, Pan (GLUTEN), Huevo (HUEVO), Aceite de Oliva, Salsa Inglesa (Vinagre de Malta, Vinagre de Alcohol, Melaza, Azúcar, Sal, Anchoas (PESCADO), Extracto de Tamarindo, Cebolla, Ajo, Especias y Aromas), Caldo de Carne, Sal, Ajo, Perejil y Comino",6.65,107.0,7.5,3.5,6.8,380.0,"HUEVO, GLUTEN, PESCADO",False,False,False,False,False,False,False,True,True,False,False,True
Pisto,"Cebolla, Patatas, Tomate, Sal, Aceite de Oliva, Pimiento, Calabacín, Berenjenas y Pimienta Blanca",5.95,89.3,2.7,8.4,4.1,380.0,,True,True,False,True,False,False,False,True,False,True,True,False
Pollo a la Carbonara con Champiñones,"Pollo 50.80%, Champiñones 19.94%, Nata (LÁCTEOS), Cebolla, Queso (LÁCTEOS), Mantequilla (LÁCTEOS), Aceite de Oliva, Ajo, Sal y Pimienta",6.95,98.0,7.4,1.0,7.1,380.0,LÁCTEOS,False,False,True,True,False,False,False,False,True,True,True,False
Pollo a la Manzanilla con Bechamel,"Pollo 49.57%, leche Sin Lactosa (LÁCTEOS), Agua, Sal, Aceite de Oliva, Nuez Moscada, Harina de maiz, Setas, Vino, Salsa de soja (SOJA) y Azúcar",6.35,147.0,9.0,3.6,9.8,380.0,"SOJA, LÁCTEOS",False,False,False,False,False,False,False,False,True,False,True,True
Pollo al Chilindrón,"Pollo 44%, Cebolla, Pimiento, Tomate, Jamón, Vino, Aceite de Oliva, Sal, Ajo, Pimentón Dulce, Pimienta Blanca y Perejil",6.85,132.0,9.5,2.4,9.0,380.0,,False,False,True,False,False,False,False,True,True,True,True,True
Pollo al Pesto con Nata,"Pollo 56.34%, Nata (LÁCTEOS), Espinacas, Albahaca, Piñones, Queso (LÁCTEOS), Aceitunas Negras, Mantequilla, Ajo, Sal y Pimienta",6.9,183.0,13.7,1.0,13.5,380.0,LÁCTEOS,False,False,True,False,False,False,True,False,True,True,True,False
Pollo con Verduras,"Pollo 50.18%, Zanahoria, Vino, Coliflor, Judías Verdes, Guisantes, Caldo de Verduras, Aceite de Oliva, Sal y Pimienta., Pimiento, Cebolla",6.15,75.5,6.1,4.8,2.7,380.0,,False,False,False,True,False,False,False,True,False,True,True,True
Salchichas Frescas al Vino con Brócoli,"Cerdo 36.86%, Brócoli 23.90%, Cebolla, Vino, Champiñón, Agua, Aceite de Oliva, Mantequilla (LÁCTEOS), Ajo, Sal, Pimienta Negra y Laurel",6.65,75.4,2.3,2.1,5.2,380.0,LÁCTEOS,False,False,False,True,False,False,False,False,True,True,True,True
Salteado de Carne y Pimientos Verdes,"Cerdo 38.11%, Cebolla, Pimiento 26.68%, Soja (SOJA), Almendra (FRUTOS DE CÁSCARA), Mantequilla (LÁCTEOS), Aceite de Oliva, Ajo, Sal, Roast Pork y Pimienta Blanca",6.65,112.0,9.1,1.9,7.1,380.0,"SOJA, FRUTOS DE CÁSCARA, LÁCTEOS",False,False,True,False,False,False,False,False,True,True,True,False
Solomillo al Roquefort con Champiñones,"Cerdo 42.35%, Champiñones 30.63%, leche Sin Lactosa (LÁCTEOS), Cebolla, Nata (LÁCTEOS), Queso Roquefort 3.90% (LÁCTEOS), Aceite de Oliva, Harina de maiz y Sal",8.2,186.0,19.4,1.5,11.2,380.0,LÁCTEOS,False,False,True,False,False,False,True,False,True,False,True,False
